product_id,product_title,cleaned_title
435,卷发棒 iclick台灯,卷发 棒 iclick 台灯
436,卷发棒 iclick台灯,卷发 棒 iclick 台灯
437,电饭煲,电饭煲
438,拓麻歌子彩屏,拓麻 歌子 彩屏
439,泡澡袋，除湿袋,泡澡 袋 除湿 袋
440,沙发,沙发
441,macbook 12寸 500gb,macbook 12 寸 500gb
442,国内秒8K不限流梯子,国内 秒 8k 不 限流 梯子
443,限时甩卖! 大功率抽湿机,限时 甩卖 大功率 抽湿机
444,衣架,衣架
445,键盘,键盘
446,iclicker 2,iclicker 2
447,跳棋手?,跳 棋手
448,Monopoly,monopoly
449,故宫解密书,故宫 解密 书
450,Econ coursepack,econ coursepack
451,Econ coursepack,econ coursepack
452,Whirlpool小冰箱,whirlpool 小 冰箱
453,单人小冰箱,单人 小 冰箱
454,GRE绿宝书,gre 绿宝书
455,306coursepack未拆封,306coursepack 未 拆封
456,暖气片子,暖气片 子
457,宜家柜子,宜家 柜子
458,全新高压锅,全新 高压锅
459,木鞋架,木鞋 架
460,Amazon smart plug 智能插头,amazon smart plug 智能 插头
461,Full size 床架和床垫,full size 床架 和 床垫
462,全新美妆蛋,全新 美妆蛋
463,9成新眼影盘,9 成新 眼影 盘
464,丝芙兰小样,丝芙兰 小样
465,便携香水,便携 香水
466,icliker,icliker
467,打孔机,打孔机
468,书,书
469,memory card,memory card
470,打印机,打印机
471,88键电钢琴 有支架有踏板 可以插耳机,88 键 电钢琴 有 支架 有 踏板 可以 插 耳机
472,平平无奇吹风机,平平 无 奇 吹风机
473,Nintendo Switch 红蓝,nintendo switch 红蓝
474,蓝牙键盘,蓝牙 键盘
475,蓝牙键盘,蓝牙 键盘
476,2010胡椒白mini Cooper,2010 胡椒 白 mini cooper
477,日本香堂 伽?姬 超级好闻 木质香,日本 香堂 伽 姬 超级 好闻 木质 香
478,IKEA 全新天空蓝相框 送四张内置图,ikea 全新 天空 蓝 相框 送 四张 内置 图
479,美东旅游全套深入指南,美 东 旅游 全套 深入 指南
480,夜灯-麋鹿梦幻夜灯,夜灯 麋鹿 梦幻 夜灯
481,小暖气,小 暖气
482,塔罗牌四元素+超大占卜布,塔罗牌 四 元素 超大 占卜 布
483,散装烟,散装 烟
484,各种小说 画画cg教程书 Econ（coursepack）,各种 小说 画画 cg 教程 书 econ coursepack
485,杠铃,杠铃
486,iPhone6 16G 很新,iphone6 16g 很 新
487,Dyson pure cool 空气净化器,dyson pure cool 空气 净化器
488,Tiger电饭煲,tiger 电饭煲
489,arozzi arena gaming desk,arozzi arena gaming desk
490,DX9 热破,dx9 热破
491,MP43 日版,mp43 日版
492,可可爱爱的托盘,可 可爱 爱 的 托盘
493,小熊?尼AirPods case,小熊 尼 airpods case
494,Dirt Devil 吸?器,dirt devil 吸 器
495,塞???? 荒野之息,塞 荒野 之息
496,圣诞树,圣诞树
497,小桌子,小桌子
498,迷你香薰+加湿,迷你 香薰 加湿
499,iPhone XR手??,iphone xr 手
500,Sony A7M3 + 24-240镜头,sony a7m3 24 240 镜头
501,哑铃,哑铃
502,卧推架+杠铃片450lb,卧 推架 杠铃 片 450lb
503,面膜,面膜
504,去毛球器,去 毛球器
505,ipad pencil,ipad pencil
506,几乎全新冰箱,几乎 全新 冰箱
507,Texas T1-84 Plus C计算器和Finance专用计算器,texas t1 84 plus c 计算器 和 finance 专用 计算器
508,Filco 86键键盘,filco 86 键 键盘
509,超酷炫主播摄像头?麦克风,超酷 炫主播 摄像头 麦克风
510,Fractal Design Meshify C TG mid-tower 机箱,fractal design meshify c tg mid tower 机箱
511,Apple 键盘,apple 键盘
512,farberware电热水壶,farberware 电热水壶
513,车玻璃水,车 玻璃水
514,鞋架,鞋架
515,学霸开过光的c语言,学霸 开过 光 的 c 语言
516,cupcake杯子,cupcake 杯子
517,前任送的兔子,前任 送 的 兔子
518,Canon 佳能 G7X Mark ii 全套9.9新赠三脚架,canon 佳能 g7x mark ii 全套 新赠 三脚架
519,可伸缩铲雪工具,可 伸缩 铲雪 工具
520,?校餐???餐券,校餐 餐券
521,bests studio2 蓝牙耳机,bests studio2 蓝牙 耳机
522,全新peak design 相机手腕带,全新 peak design 相机 手腕带
523,samyang 35/2.8微单镜头,samyang 35 微单 镜头
524,2017 Mercedes-Benz AMG GLE43 Coupe for sale,2017 mercedes benz amg gle43 coupe for sale
525,多功能手持蒸汽清洁器,多功能 手持 蒸汽 清洁器
526,两个可伸缩衣架,两个 可 伸缩 衣架
527,计算器,计算器
528,茶桌,茶桌
529,iclicker,iclicker
530,鼠标,鼠标
531,鞋架,鞋架
532,金色置物架+笔筒+首饰盒,金色 置物架 笔筒 首饰盒
533,Panassonic 松下吹风机,panassonic 松下 吹风机
534,49寸 LG电视 4K,49 寸 lg 电视 4k
535,桌子,桌子
536,外星人台式一套,外星人 台式 一套
537,Google play 华为商城 上线提醒,google play 华为 商城 上线 提醒
538,灯,灯
539,PS4 游戏,ps4 游戏
540,灯,灯
541,Queen size- 床垫,queen size 床垫
542,99新 储物篮,99 新 储物篮
543,生活有点绿,生活 有点 绿
544,暖风冷风都可出,暖风 冷风 都 可出
545,李佳琪套装：2组仪器 完全还未使用 赠送小礼品,李佳琪 套装 2 组 仪器 完全 还 未 使用 赠送 小 礼品
546,未使用：CathKidson印花钱包,未 使用 cathkidson 印花 钱包
547,Iclicker,iclicker
548,全新的 Beats Wireless Solo3,全新 的 beats wireless solo3
549,椅子,椅子
550,出打印送纸,出 打印 送纸
551,绘画颜料加笔送一套专业美术用纸加画架画板,绘画 颜料 加笔 送 一套 专业 美术 用纸 加 画架 画板
552,围棋(五子棋)棋盘+棋子+围棋书,围棋 五子棋 棋盘 棋子 围棋 书
553,Burberry和Marc Jacobs香水100ml,burberry 和 marc jacobs 香水 100ml
554,全新Bally尖头拖鞋 ?价出,全新 bally 尖头 拖鞋 价出
555,化学452 少走弯路 考试神器,化学 452 少走弯路 考试 神器
556,可拆分呼啦圈,可 拆分 呼啦圈
557,多功能按摩仪,多功能 按摩 仪
558,可爱的小沙发,可爱 的 小 沙发
559,小冰箱,小 冰箱
560,三星27村显示器,三星 27 村 显示器
561,背部按摩仪,背部 按摩 仪
562,宜家 小推车 三层,宜家 小推车 三层
563,限时搬家甩卖-沙发套,限时 搬家 甩卖 沙发 套
564,全新蓝牙鼠标,全新 蓝牙 鼠标
565,Graco婴儿摇篮 止哭神器,graco 婴儿 摇篮 止 哭 神器
566,香薰机,香薰 机
567,MarsYard2.0 Tom Sachs,tom sachs
568,打印扫描一体机,打印 扫描 一体机
569,飞利浦hue,飞利浦 hue
570,70个衣架,70 个 衣架
571,靠垫,靠垫
572,9成新首饰盒,9 成新 首饰盒
573,绿植装饰,绿植 装饰
574,Iclicker,iclicker
576,全身镜,全身 镜
577,化妆镜,化妆镜
578,抗封锁高速梯子 开会期间稳如狗,抗 封锁 高速 梯子 开会 期间 稳如 狗
579,滑板*2,滑板 2
580,Line Friend超大布朗熊,line friend 超大 布朗 熊
581,电暖,电暖
582,狗 航空箱 55-80lb,狗 航空箱 55 80lb
584,宜家 ikea 抽屉垫,宜家 ikea 抽屉 垫
585,mpm04 擎天柱,mpm04 擎天柱
586,MPM03 大黄蜂,mpm03 大黄蜂
587,超大靠枕 床头枕头,超大 靠枕 床头 枕头
588,衣架，大收纳箱（带盖）,衣架 大 收纳 箱 带盖
589,塔罗牌+四元素+桌布和塔罗牌套,塔罗牌 四 元素 桌布 和 塔罗牌 套
590,六格糖果色储物柜,六格 糖果 色 储物柜
591,洗衣?,洗衣
592,小台灯,小 台灯
593,双峰神秘史,双峰 神秘 史
594,落地灯加3个灯泡,落地灯 加 3 个 灯泡
595,真空包?袋,真空 包 袋
596,switch游戏卡带,switch 游戏卡 带
597,Queen size,queen size
598,可变色熊猫小夜灯～,可 变色 熊猫 小夜灯
599,Gucci领带,gucci 领带
600,三层储物架,三层 储物架
601,网红鸭,网红 鸭
602,松下吹风机，很能吹,松下 吹风机 很能 吹
603,书虽然不好看，白给都没人要么？打麻将不需要垫桌脚么？,书 虽然 不 好看 白给 都 没人 要么 打麻将 不 需要 垫 桌脚 么
604,espresso 杯 2个,espresso 杯 2 个
605,全新switch灰色,全新 switch 灰色
606,闲散家具，小柜吧台椅。,闲散 家具 小柜 吧 台椅
607,枕头,枕头
609,阿胶浆,阿胶 浆
610,四层鞋架,四层 鞋架
611,零食架,零食 架
612,小孩??玩具,小孩 玩具
613,led可调节台灯 两个10刀,led 可 调节 台灯 两个 10 刀
614,桌面mini吸尘器,桌面 mini 吸尘器
615,真空包装袋,真空 包装袋
616,Airpods保护套,airpods 保护套
617,Switch游戏 塞尔达传说 荒野之息,switch 游戏 塞尔达 传说 荒野 之息
618,7/31前取 全新幼儿学习玩具,7 31 前取 全新 幼儿 学习 玩具
619,iclicker 2,iclicker 2
620,iPhone XR手机壳,iphone xr 手机 壳
621,跳棋,跳棋
622,吸尘器,吸尘器
623,大富翁游戏,大富翁 游戏
624,洗衣篮,洗衣 篮
625,可升降转椅,可 升降 转椅
626,口红收纳盒,口红 收纳盒
627,洗衣篮,洗衣 篮
628,Financial Calculator,financial calculator
629,romand眼影 99新 01 M02,romand 眼影 99 新 01 m02
630,指甲油,指甲油
631,直板夹,直板 夹
632,狼人杀卡牌配警长徽章,狼人 杀卡牌 配 警长 徽章
633,Adidas Ozeweego磨砂黑，Nike Huarache哑光银,adidas ozeweego 磨砂 黑 nike huarache 哑光 银
634,Supreme 音响 全新未拆封,supreme 音响 全新 未 拆封
635,i7-6700 送纯银涂胶arctic,i7 6700 送 纯银 涂胶 arctic
636,AK320播放器,ak320 播放器
637,防水音响,防水 音响
638,iClicker 2,iclicker 2
639,小金人Best Me,小金人 best me
